Table
Discounting Function ML Estimates
Concave Utility, Heterogenous(?) Preferences
2.race	0.065	0.075	0.065	0.075
3.race	0.250***	0.072	0.251***	0.072
1.race#2.wave	-0.342**	0.166	-0.348**	0.166
1.race#3.wave	-0.298**	0.148	-0.309**	0.147
1.race#4.wave	-0.152	0.198	-0.160	0.197
1.race#5.wave	-0.121	0.209	-0.127	0.210
1.race#6.wave	-0.265*	0.146	-0.274*	0.145
2.race#2.wave	0.063	0.129	0.066	0.129
2.race#3.wave	-0.033	0.121	-0.033	0.121
2.race#4.wave	0.123	0.115	0.125	0.115
2.race#5.wave	-0.074	0.139	-0.076	0.140
2.race#6.wave	0.147	0.121	0.151	0.121
3.race#2.wave	-0.065	0.103	-0.062	0.103
3.race#3.wave	-0.177*	0.099	-0.177*	0.099
3.race#4.wave	-0.145	0.097	-0.146	0.097
3.race#5.wave	-0.190*	0.109	-0.191*	0.109
3.race#6.wave	0.024	0.115	0.029	0.115
1.male#2.wave	0.142	0.093	0.140	0.093
1.male#3.wave	-0.021	0.087	-0.019	0.087
1.male#4.wave	0.015	0.086	0.016	0.086
1.male#5.wave	0.054	0.094	0.056	0.094
1.male#6.wave	0.088	0.098	0.083	0.097
_cons	0.260***	0.087	0.265***	0.087
PWF parameter (eta)				
2.wave	-0.003	0.088	-0.001	0.088
3.wave	-0.014	0.101	-0.007	0.102
4.wave	0.013	0.098	0.016	0.099
5.wave	0.139	0.104	0.137	0.104
6.wave	-0.116	0.116	-0.113	0.116
age	0.004	0.004	0.004	0.004
1.male	-0.014	0.081	-0.010	0.082
anxiety_total	0.008*	0.004	0.008*	0.004
depression_total	-0.009**	0.004	-0.008**	0.004
1.race	0.001	0.188	-0.011	0.187
2.race	0.101	0.095	0.099	0.095
3.race	0.040	0.088	0.037	0.089
1.race#2.wave	0.323	0.266	0.327	0.267
1.race#3.wave	0.265	0.219	0.282	0.220
1.race#4.wave	0.091	0.236	0.097	0.235
1.race#5.wave	0.150	0.264	0.159	0.263
1.race#6.wave	0.491*	0.275	0.505*	0.272
2.race#2.wave	0.301	0.188	0.289	0.188
2.race#3.wave	0.053	0.171	0.047	0.172
2.race#4.wave	0.039	0.151	0.031	0.149
2.race#5.wave	-0.049	0.157	-0.036	0.154
2.race#6.wave	0.255	0.167	0.248	0.166
3.race#2.wave	0.153	0.120	0.145	0.121
3.race#3.wave	0.169	0.124	0.166	0.124
3.race#4.wave	0.099	0.121	0.096	0.122
3.race#5.wave	0.006	0.138	0.010	0.139
3.race#6.wave	0.240	0.148	0.227	0.149
1.male#2.wave	0.065	0.105	0.065	0.106
1.male#3.wave	0.125	0.117	0.116	0.118
1.male#4.wave	0.006	0.107	0.003	0.108
1.male#5.wave	0.120	0.128	0.111	0.128
1.male#6.wave	0.212	0.135	0.222	0.136
_cons	0.689***	0.116	0.675***	0.117
Discounting parameter (delta)				
2.wave	-1.430	1.228	-1.425	1.183
3.wave	-1.483	1.260	-1.559	1.185
4.wave	-2.133*	1.180	-2.104*	1.122
5.wave	-0.774	1.258	-0.697	1.210
6.wave	-0.191	2.267	-0.370	1.991
age	-0.004	0.014	-0.009	0.013
1.male	-0.389	0.388	-0.431	0.391
anxiety_total	0.030	0.025	0.033	0.024
depression_total	-0.006	0.023	-0.012	0.022
1.race	-2.186*	1.147	-1.992*	1.092
2.race	-1.913	1.176	-1.844*	1.108
3.race	-2.173*	1.134	-2.095*	1.073
1.race#2.wave	1.016	1.287	0.878	1.234
1.race#3.wave	2.013	1.309	1.817	1.223
1.race#4.wave	2.775*	1.426	2.636*	1.349
1.race#5.wave	0.109	1.317	-0.097	1.273
1.race#6.wave	-0.728	2.292	-0.695	1.997
2.race#2.wave	1.047	1.305	1.149	1.274
2.race#3.wave	1.387	1.392	1.446	1.297
2.race#4.wave	2.265*	1.299	2.358*	1.275
2.race#5.wave	0.567	1.478	0.433	1.369
2.race#6.wave	1.202	2.328	1.489	2.077
3.race#2.wave	1.187	1.216	1.235	1.173
3.race#3.wave	1.144	1.236	1.218	1.156
3.race#4.wave	1.493	1.153	1.462	1.090
3.race#5.wave	0.649	1.257	0.563	1.203
3.race#6.wave	-0.278	2.255	-0.097	1.975
1.male#2.wave	0.630	0.647	0.703	0.714
1.male#3.wave	1.272*	0.653	1.326**	0.637
1.male#4.wave	0.679	0.479	0.705	0.478
1.male#5.wave	0.577	0.560	0.665	0.573
1.male#6.wave	1.327	0.851	1.290	0.830
_cons	3.282**	1.282	3.352***	1.230
Risk error (mu)				
_cons	0.140***	0.004	0.139***	0.004
Time error (nu)				
_cons	5.717***	0.750	5.761***	0.737
Discounting parameter (beta)				
2.wave			-0.004	0.021
3.wave			-0.023	0.022
4.wave			-0.010	0.020
5.wave			0.001	0.023
6.wave			-0.010	0.025
age			-0.002**	0.001
1.male			-0.018	0.018
anxiety_total			0.000	0.001
depression_total			-0.001	0.001
1.race			0.062***	0.021
2.race			0.006	0.025
3.race			0.008	0.018
1.race#2.wave			-0.041	0.032
1.race#3.wave			-0.072**	0.029
1.race#4.wave			-0.045	0.031
1.race#5.wave			-0.050	0.036
1.race#6.wave			-0.065	0.041
2.race#2.wave			0.039	0.035
2.race#3.wave			0.015	0.037
2.race#4.wave			0.037	0.039
2.race#5.wave			-0.031	0.050
2.race#6.wave			0.029	0.035
3.race#2.wave			0.031	0.025
3.race#3.wave			0.017	0.025
3.race#4.wave			0.014	0.023
3.race#5.wave			-0.006	0.025
3.race#6.wave			0.043	0.028
1.male#2.wave			0.002	0.025
1.male#3.wave			0.020	0.025
1.male#4.wave			0.007	0.024
1.male#5.wave			0.031	0.026
1.male#6.wave			-0.032	0.027
_cons			1.048***	0.026
N	102600		102600	
log-likelihood	-61770.914		-61677.046	
Results account for clustering at the individual level
Standard errors in parentheses
* p<0.10, ** p<0.05, *** p<0.01
